영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
무경계,진재운,(주)KNN,,"(주)빅브라더스,(주)드림팩트엔터테인먼트",2023-11-30,개봉영화,장편,한국,9,8614339,898,5204039,581,다큐멘터리,전체관람가,독립/예술영화
물비늘,임승현,플라시보 픽쳐스,,㈜인디스토리,2023-12-06,개봉영화,장편,한국,18,7539700,878,5995650,651,드라마,12세이상관람가,독립/예술영화
우리의 하루,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2023-10-19,개봉영화,장편,한국,47,7898500,878,6301500,663,드라마,12세이상관람가,독립/예술영화
무빙 포 워드,,,,씨제이 씨지브이(CJ CGV)(주),2023-12-13,개봉영화,장편,한국,5,10470000,760,9525000,697,코미디,12세이상관람가,일반영화
걸스 인 원더랜드 : 벤타엑스 브이알 뮤직시네마 02,,,,벤타브이알,2023-11-03,개봉영화,장편,한국,1,18350000,734,15300000,612,,전체관람가,일반영화
가문의 영광: 리턴즈,"정태원,정용기",(주)태원엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2023-09-21,개봉영화,장편,한국,823,4513000,714,0,0,코미디,15세이상관람가,일반영화
르네에게,강승원,(주)허그아이엔티엘,,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2023-12-27,개봉영화,장편,한국,13,5308939,611,4430339,493,드라마,12세이상관람가,독립/예술영화
K스쿨,박미경,강 컨텐츠,,강 컨텐츠,2024-02-21,개봉영화,장편,한국,19,5673900,599,4574000,484,드라마,전체관람가,독립/예술영화
괴담만찬,"안상훈,윤은경,김용균,임대웅,채여준","(주)스튜디오투유,(주)아이뉴컴퍼니",,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스,(주)대교 미디어콘텐츠사업본부",2023-10-18,개봉영화,옴니버스,한국,162,5261624,585,2259356,250,공포(호러),15세이상관람가,일반영화
제시는 그때 스무살이었다,한명구,주식회사 시네마서울,,시네마 뉴원,2023-12-14,개봉영화,장편,한국,2,5753000,539,5753000,539,드라마,청소년관람불가,일반영화
어느 날 그녀가 우주에서,구상범,영화사 온난전선,,(주)이놀미디어,2023-11-22,개봉영화,장편,한국,16,4544000,523,3497000,380,멜로/로맨스,12세이상관람가,독립/예술영화
밀수,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2023-07-26,개봉영화,장편,한국,1932,3755000,517,1310000,116,액션,15세이상관람가,일반영화
로보카폴리 안전교실 교통편,엄준영,(주)로이비쥬얼,,(주)로이비쥬얼,2022-09-19,개봉영화,장편,한국,16,2984000,512,678000,113,애니메이션,전체관람가,일반영화
미끼,윤권수,(주)아크378,,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",2023-12-14,개봉영화,장편,한국,25,4794445,507,2064000,222,드라마,15세이상관람가,일반영화
간신의 피,권하,묘명동화,,(주)에스와이코마드,2024-01-03,개봉영화,장편,한국,10,5017510,442,3106400,250,액션,15세이상관람가,독립/예술영화
믿을 수 있는 사람,곽은미,한국영화아카데미,,찬란,2023-10-18,개봉영화,장편,한국,62,3141000,392,1595000,137,드라마,12세이상관람가,독립/예술영화
핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,변희선,더핑크퐁컴퍼니(주),,더핑크퐁컴퍼니(주),2023-07-26,개봉영화,장편,한국,128,2740000,390,0,0,애니메이션,전체관람가,독립/예술영화
그날의 딸들,고훈,(주)미학인 우주선,,(주)누리픽쳐스,2024-04-03,개봉영화,장편,한국,8,2855000,360,783000,87,다큐멘터리,12세이상관람가,독립/예술영화
물꽃의 전설,고희영,,,(주)영화사 진진,2023-08-30,개봉영화,장편,한국,33,2512000,317,2344000,293,다큐멘터리,전체관람가,독립/예술영화
8인의 용의자들,오인천,(주)영화맞춤제작소 영화공장,,스튜디오타겟(주),2024-04-17,개봉영화,장편,한국,10,1872000,312,0,0,드라마,15세이상관람가,독립/예술영화
검치호,이강욱,바투 필름,,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2024-03-28,개봉영화,장편,한국,5,2442500,308,1356000,149,액션,15세이상관람가,독립/예술영화
프리 철수 리,"하줄리,이성민",,,커넥트픽쳐스(주),2023-10-18,개봉영화,장편,한국,59,2096500,291,1710000,225,다큐멘터리,12세이상관람가,독립/예술영화
서바이벌 택틱스,박근영,요지경필름,,필름다빈,2024-02-21,개봉영화,장편,한국,12,2200500,279,1377500,169,드라마,12세이상관람가,독립/예술영화
물귀신,임지훈,"(주)콘텐츠지,(주)이오콘텐츠그룹",,(주)라온컴퍼니플러스,2023-11-09,개봉영화,장편,한국,5,2577000,265,2470000,247,공포(호러),12세이상관람가,독립/예술영화
절해고도,김미영,보리와 오디 영화사,,"아이 엠,무브먼트",2023-09-27,개봉영화,장편,한국,36,2103000,257,1661000,194,드라마,12세이상관람가,독립/예술영화
비밀의 언덕,이지은,오스프링 필름,,(주)엣나인필름,2023-07-12,개봉영화,장편,한국,56,2071500,249,1392000,181,기타,전체관람가,독립/예술영화
연련(戀鍊),강서곤,나도밤보 주식회사,,나도밤보 주식회사,2024-03-27,개봉영화,장편,한국,5,1026000,214,82000,11,가족,12세이상관람가,독립/예술영화
리향,신재천,,,(주)영화사 그램,2023-12-28,개봉영화,장편,한국,1,1827000,203,0,0,드라마,12세이상관람가,일반영화
잠,유재선,(주)루이스 픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-06,개봉영화,장편,한국,1231,1193745,154,1193745,154,미스터리,15세이상관람가,일반영화
거미집,김지운,앤솔로지스튜디오(주),,(주)바른손이앤에이,2023-09-27,개봉영화,장편,한국,1058,1269228,146,1168228,134,코미디,15세이상관람가,일반영화
타겟,박희곤,(주)영화사피어나,,플러스엠 엔터테인먼트,2023-08-30,개봉영화,장편,한국,986,912000,114,912000,114,스릴러,15세이상관람가,일반영화
듣보인간의 생존신고,"권하정,김아현",(주)에이치더블유,,(주)시네마달,2023-09-06,개봉영화,장편,한국,93,1195500,105,216000,27,다큐멘터리,전체관람가,독립/예술영화
우리 돈 벌레,윤재연,㈜스토리셋,,㈜스토리셋,2023-12-28,개봉영화,장편,한국,5,624000,104,0,0,코미디,12세이상관람가,독립/예술영화
드라이브,정연,스튜디오 이상한 나라의 원더랜드,,스튜디오 이상한 나라의 원더랜드,2024-04-24,개봉영화,장편,한국,4,868000,98,806000,91,멜로/로맨스,12세이상관람가,독립/예술영화
그녀의 취미생활,하명미,웬에버스튜디오,,(주)트리플픽쳐스,2023-08-30,개봉영화,장편,한국,52,280000,70,0,0,미스터리,15세이상관람가,독립/예술영화
지옥만세,임오정,한국영화아카데미,,찬란,2023-08-16,개봉영화,장편,한국,65,861000,63,861000,63,어드벤처,12세이상관람가,독립/예술영화
런닝맨: 리벤져스,엄영식,(주)로커스,,(주)넥스트엔터테인먼트월드(NEW),2023-08-10,개봉영화,장편,한국,221,335000,47,41000,5,애니메이션,전체관람가,독립/예술영화
극장판 슈퍼윙스: 맥시멈 스피드,정길훈,(주)퍼니플럭스,,(주)넥스트엔터테인먼트월드(NEW),2023-07-20,개봉영화,장편,한국,407,267439,42,0,0,애니메이션,전체관람가,일반영화
내겐 너무 젊은 장모,,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2024-01-05,개봉영화,장편,한국,5,236000,41,0,0,성인물(에로),청소년관람불가,일반영화
니남편 잘하더라,,,,(주)씨맥스커뮤니케이션즈,2024-04-05,개봉영화,장편,한국,5,236000,41,0,0,성인물(에로),청소년관람불가,일반영화
섹파는 처음인 옆집 유부녀,,,,(주)씨맥스커뮤니케이션즈,2023-11-03,개봉영화,장편,한국,5,236000,41,0,0,성인물(에로),청소년관람불가,일반영화
애첩: 궁합 좋은 며느리,,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2023-12-01,개봉영화,장편,한국,5,236000,41,0,0,성인물(에로),청소년관람불가,일반영화
제수씨의 황제 VIP 서비스,,,,(주)씨맥스커뮤니케이션즈,2024-03-08,개봉영화,장편,한국,5,236000,41,0,0,성인물(에로),청소년관람불가,일반영화
존예 며느리의 신음소리,,,,(주)씨맥스커뮤니케이션즈,2024-02-02,개봉영화,장편,한국,5,236000,41,0,0,성인물(에로),청소년관람불가,일반영화
그날이 와버렸네,김충길,김충길 필름,,김충길 필름,2024-03-21,개봉영화,장편,한국,1,327000,35,303000,32,드라마,12세이상관람가,독립/예술영화
번개맨: 더 비기닝,"한상호,박성배",한국교육방송공사 EBS,,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2023-09-20,개봉영화,장편,한국,181,201100,31,0,0,애니메이션,전체관람가,독립/예술영화
콘크리트 유토피아,엄태화,"클라이맥스 스튜디오(주),(주)비에이치 엔터테인먼트",,롯데컬처웍스(주)롯데엔터테인먼트,2023-08-09,개봉영화,장편,한국,1731,186000,25,186000,25,드라마,15세이상관람가,일반영화
머릿속을,조성규,(주)와우,,하준사,2024-01-24,개봉영화,장편,한국,5,67000,21,0,0,드라마,12세이상관람가,독립/예술영화
강제로 당하고 싶은 아줌마,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-04-18,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
거칠게 움켜쥔 대물,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-04-04,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
결혼 전 뚫려버린 순결,,(주)이십일세기미디어,,(주)이십일세기미디어,2024-01-26,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
관능 육체 부녀회장의 동정교육,,주식회사 피에스앤제이,,주식회사 피에스앤제이,2024-01-03,개봉영화,장편,한국,1,100000,20,0,0,,청소년관람불가,일반영화
굵고 강한 물건을 원하는 아내,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-04-11,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
그녀들이 치료해주는 발기부전,,,,와이제이스토리,2024-01-30,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
날 것으로 맛보는 그녀의 성생활,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-02-09,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
남자 미치게 만드는 폭유녀들,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-04-04,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
너무 예뻐진 친구 여동생의 유혹,,,,와이제이스토리,2024-02-28,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
너무 커져버린 과외쌤 오빠,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-04-05,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
뜨겁게 달아오른 누나의 유혹,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2024-02-02,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
명탐정 추태에 빠져버린 처자,김피디,(주)이십일세기미디어,,(주)이십일세기미디어,2024-01-26,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
벌레 먹은 꿀단지,김도현,(주)뮤직엔닷컴,,(주)뮤직엔닷컴,2023-12-08,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
살집 올라 풍만해진 고교 동창녀,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2023-12-28,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
삽입 안 하고는 버틸 수 없는 그녀,,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2023-12-08,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
