영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
18 성인배우 이수의 섹스 판타지,최진철,라임필름,,케이엘 픽쳐스,2021-01-26,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
18 출사녀 화진의 미친 섹스,최진철,라임필름,,케이엘 픽쳐스,2020-12-07,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
18 클럽녀 새봄의 섹스 파티,최진철,라임필름,,케이엘 픽쳐스,2021-01-04,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
18 BJ 하연의 화려한 테크닉,최진철,라임필름,,케이엘 픽쳐스,2021-01-12,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
2020년 마지막 섹스,최진철,라임필름,,케이엘 픽쳐스,2021-01-07,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
아르코 라이브 무용 고요한 순환,,한국문화예술위원회,,(주)아이디어랩,2021-04-07,개봉영화,장편,한국,5,507000,48,293000,27,공연,12세이상관람가,일반영화
나를 구하지 마세요,정연경,(주)아우라픽처스,,(주)리틀빅픽쳐스,2020-09-10,개봉영화,장편,한국,79,186000,37,0,0,드라마,12세이상관람가,독립/예술영화
팬티하우스,김동해,케이엘 픽쳐스,,케이엘 픽쳐스,2021-03-19,개봉영화,장편,한국,1,68000,34,68000,34,멜로/로맨스,청소년관람불가,일반영화
여름날,오정석,오전필름,,영화배급협동조합 씨네소파,2020-08-20,개봉영화,장편,한국,12,203000,29,21000,3,드라마,전체관람가,독립/예술영화
교수님의 이중생활,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-01-26,개봉영화,장편,한국,20,71000,25,3000,2,멜로/로맨스,청소년관람불가,일반영화
아내의 방:내 방에 들어올래?,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-02-01,개봉영화,장편,한국,20,71000,25,3000,2,멜로/로맨스,청소년관람불가,일반영화
애인대행,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-03-26,개봉영화,장편,한국,20,76000,25,13000,7,멜로/로맨스,청소년관람불가,일반영화
모델 민정의 화려한 테크닉,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-02-02,개봉영화,장편,한국,18,70000,24,3000,2,멜로/로맨스,청소년관람불가,일반영화
야한 아내:남편 친구 맛보기,이희성,(주)영진크리에이티브,,(주)영진크리에이티브,2021-02-16,개봉영화,장편,한국,19,70000,24,3000,2,멜로/로맨스,청소년관람불가,일반영화
에로여비서:끝내주는 미스 정,이희성,(주)영진크리에이티브,,(주)영진크리에이티브,2021-04-23,개봉영화,장편,한국,20,74000,24,11000,6,멜로/로맨스,청소년관람불가,일반영화
처제의 향기,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-04-16,개봉영화,장편,한국,20,70000,22,7000,4,멜로/로맨스,청소년관람불가,일반영화
후쿠오카,장률,(주)률필름,,"(주)률필름,㈜인디스토리",2020-08-27,개봉영화,장편,한국,101,135000,22,44000,8,드라마,15세이상관람가,독립/예술영화
내로남불,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2020-11-23,개봉영화,장편,한국,20,68000,21,5000,3,멜로/로맨스,청소년관람불가,일반영화
은밀한 스와핑,판,(주)영진크리에이티브,,(주)영진크리에이티브,2020-12-12,개봉영화,장편,한국,20,67000,21,4000,3,멜로/로맨스,청소년관람불가,일반영화
핫바디 처제,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2020-11-28,개봉영화,장편,한국,20,68000,21,5000,3,멜로/로맨스,청소년관람불가,일반영화
내 아내의 S 파트너,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-04-02,개봉영화,장편,한국,20,66000,20,3000,2,멜로/로맨스,청소년관람불가,일반영화
늦은 발정기,전성기,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,2021-04-16,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
동서의 손맛,최정자,주식회사 플릭스코,,주식회사 플릭스코,2021-03-17,개봉영화,장편,한국,1,100000,20,100000,20,성인물(에로),청소년관람불가,일반영화
섹 마녀,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-03-19,개봉영화,장편,한국,20,66000,20,3000,2,멜로/로맨스,청소년관람불가,일반영화
수산시장 활어부인,최정자,주식회사 플릭스코,,주식회사 플릭스코,2021-02-05,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
시누이의 맛 2,최정자,주식회사 플릭스코,,주식회사 플릭스코,2021-02-01,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
알몸배달 섹스맛집,이희성,(주)영진크리에이티브,,(주)영진크리에이티브,2021-04-23,개봉영화,장편,한국,20,66000,20,3000,2,멜로/로맨스,청소년관람불가,일반영화
음란주택2 : 노예계약,한동호,주식회사 플릭스코,,주식회사 플릭스코,2021-02-01,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
친구 여동생,판,(주)영진크리에이티브,,(주)영진크리에이티브,2021-01-18,개봉영화,장편,한국,20,66000,20,3000,2,멜로/로맨스,청소년관람불가,일반영화
큰놈 바이러스,한동호,주식회사 플릭스코,,주식회사 플릭스코,2021-03-10,개봉영화,장편,한국,1,100000,20,100000,20,성인물(에로),청소년관람불가,일반영화
팔로워,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,2021-04-30,개봉영화,장편,한국,20,66000,20,3000,2,멜로/로맨스,청소년관람불가,일반영화
흔적,전성기,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,2021-04-16,개봉영화,장편,한국,1,100000,20,0,0,성인물(에로),청소년관람불가,일반영화
힘 좋은 시아버지와 착한 며느리,송정규,(주)나우콘텐츠,,(주)나우콘텐츠,2021-03-18,개봉영화,장편,한국,1,100000,20,0,0,멜로/로맨스,청소년관람불가,일반영화
바람의 언덕,박석영,영화사 삼순,,영화사 삼순,2020-04-23,개봉영화,장편,한국,28,127000,19,0,0,드라마,전체관람가,독립/예술영화
