,영화명,제작사,전국 관객수,등급,영화구분,흥행,주연배우_흥행비율,director_rank,gr_rank,dis_rank
256,같은 속옷을 입는 두 여자,271,7969,1,0,N,0.0,137,10,75
257,엄마의 땅: 그리샤와 숲의 주인,271,7718,2,0,N,0.0,140,14,69
258,정직한 후보2,60,7511,0,1,N,0.45634920634920634,38,7,9
259,아머드 사우루스: 기계공룡제국의 침략,169,7496,2,1,N,0.0,166,14,42
260,만인의 연인,63,7393,1,0,N,0.0,142,10,71
261,창밖은 겨울,163,7191,0,0,N,0.0,144,10,66
262,그대 어이가리,83,6913,0,0,N,0.0,183,10,82
263,이태석,176,5977,2,0,N,0.0,151,16,68
264,탑,97,5961,1,0,N,0.0,207,10,94
265,"그 겨울, 나는",271,5660,1,0,N,0.0,153,12,69
266,장기자랑,222,5334,0,0,N,0.0,197,16,66
267,나는 여기에 있다,45,4746,1,1,N,0.06666666666666667,131,1,47
268,수프와 이데올로기,148,4679,0,0,N,0.0,165,16,70
269,살수,23,4600,1,1,N,0.0,160,4,76
270,옆집사람,272,3964,1,0,N,0.06666666666666667,170,8,56
271,첫번째 아이,276,3851,0,0,N,0.0,175,10,69
272,살인청부업자,134,3568,3,1,N,0.0,181,1,81
273,"열여덟, 어른이 되는 나이",114,3420,0,0,N,0.0,185,10,91
274,육사오(6/45),130,3282,0,1,N,0.39999999999999997,21,7,7
275,찬란한 나의 복수,240,3274,1,0,N,0.0,225,10,100
276,트랜스,165,3254,1,0,N,0.09523809523809523,186,11,93
277,물안에서,97,3232,0,0,N,0.0,207,10,94
278,머슴바울,159,3004,2,0,N,0.0,192,2,85
279,흐르다,219,2925,0,0,N,0.0,226,10,101
280,요정,273,2861,0,0,N,0.0,194,10,88
281,한산: 용의 출현,53,2706,0,1,N,0.3277777777777778,7,4,8
282,사랑의 고고학,33,2346,1,0,N,0.0,230,10,102
283,니얼굴,174,2275,2,0,N,0.0,133,16,66
284,10일간의 애인,26,2118,3,1,N,0.0,211,12,96
285,강남좀비,150,2098,1,1,N,0.0,294,10,83
286,제비,63,2094,1,0,N,0.0,236,10,71
287,대무가,122,2002,1,0,N,0.0,81,10,31
288,고고다이노 극장판: 얼음공룡의 비밀,39,1946,2,0,N,0.0,86,14,35
289,리미트,49,1771,1,1,N,0.06666666666666667,76,1,30
290,여섯 개의 밤,116,1704,0,0,N,0.0,253,10,79
291,겨울 이야기,204,1366,2,0,N,0.0,231,10,103
